,ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
184,185,222, (44.5;-24.8;16.1),"[""None"": 0.91]",Rolandic_Oper_R,"[""Right Superior Temporal Gyrus"": 0.47][""Right Rolandic Operculum"": 0.18][""Right Heschls Gyrus"": 0.18][""Right Insula Lobe"": 0.14]","[""Right Insula"": 0.50][""Right Superior Temporal Gyrus"": 0.22][""Right Transverse Temporal Gyrus"": 0.18]","[""Right Parietal Operculum Cortex"": 0.31][""Right Planum Temporale"": 0.29][""Right Heschl's Gyrus (includes H1 and H2)"": 0.16][""Right Central Opercular Cortex"": 0.12][""Right Insular Cortex"": 0.11]"
185,186,198, (12.1;43.1;45.4),"[""None"": 0.99]",Frontal_Sup_Medial_R,"[""Right Superior Medial Gyrus"": 0.58][""Right Superior Frontal Gyrus"": 0.42]","[""Right Superior Frontal Gyrus"": 0.77][""Right Medial Frontal Gyrus"": 0.15]","[""Right Frontal Pole"": 0.62][""Right Superior Frontal Gyrus"": 0.38]"
186,187,198, (13.5;21.7;59.8),"[""None"": 0.99]",Frontal_Sup_R,"[""Right Superior Frontal Gyrus"": 0.50][""Right SMA"": 0.30][""Right Superior Medial Gyrus"": 0.20]","[""Right Superior Frontal Gyrus"": 0.86]","[""Right Superior Frontal Gyrus"": 0.99]"
187,188,192, (-18.6;-52.6;65.2),"[""None"": 1.00]",Parietal_Sup_L,"[""Left Superior Parietal Lobule "": 0.66][""Left Precuneus"": 0.30]","[""Left Superior Parietal Lobule"": 0.47][""Left Postcentral Gyrus"": 0.24][""None"": 0.18]","[""Left Superior Parietal Lobule"": 0.65][""Left Precuneous Cortex"": 0.14][""Left Postcentral Gyrus"": 0.13]"
188,189,252, (-27.6;-58.3;-13.6),"[""None"": 0.87]",Fusiform_L,"[""Left Fusiform Gyrus"": 0.54][""Left Cerebellum"": 0.38]","[""Left Declive"": 0.47][""Left Culmen"": 0.29][""Left Fusiform Gyrus"": 0.13]","[""Left Temporal Occipital Fusiform Cortex"": 0.52][""Left Occipital Fusiform Gyrus"": 0.19][""Left Lingual Gyrus"": 0.16][""None"": 0.12]"
189,190,234, (16.0;-34.5;-21.4),"[""None"": 1.00]",Cerebelum_3_R,"[""Right Cerebellum"": 0.45][""Right Cerebellum"": 0.22][""None"": 0.20]","[""Right Culmen"": 0.66][""None"": 0.24]","[""None"": 0.62][""Right Parahippocampal Gyrus; posterior division"": 0.28]"
190,191,210, (-21.3;30.0;47.3),"[""None"": 0.92]",Frontal_Sup_L,"[""Left Superior Frontal Gyrus"": 0.55][""Left Middle Frontal Gyrus"": 0.45]","[""Left Superior Frontal Gyrus"": 0.67][""Left Middle Frontal Gyrus"": 0.33]","[""Left Superior Frontal Gyrus"": 0.65][""Left Middle Frontal Gyrus"": 0.25]"
191,192,245, (-0.7;-77.8;-23.2),"[""None"": 0.89]",Cerebelum_Crus2_L,"[""Left Cerebellum"": 0.31][""Cerebellar Vermis"": 0.30][""Left Cerebellum"": 0.18]","[""Left Pyramis"": 0.22][""Right Pyramis"": 0.17][""Right Declive"": 0.12][""None"": 0.11][""Left Declive"": 0.11]","[""None"": 0.87]"
192,193,145, (15.0;56.3;29.4),"[""None"": 0.99]",Frontal_Sup_R,"[""Right Superior Frontal Gyrus"": 0.49][""Right Superior Medial Gyrus"": 0.42]","[""Right Superior Frontal Gyrus"": 0.96]","[""Right Frontal Pole"": 0.93]"
193,194,199, (1.0;-30.8;-17.5),"[""None"": 1.00]",None,"[""None"": 0.59][""Cerebellar Vermis"": 0.15][""Cerebellar Vermis"": 0.15]","[""None"": 0.77][""Right Culmen"": 0.14]","[""None"": 1.00]"
194,195,249, (9.0;-86.9;-12.3),"[""None"": 0.98]",Lingual_R,"[""Right Lingual Gyrus"": 0.23][""Right Cerebellum"": 0.18][""Left Calcarine Gyrus"": 0.16][""None"": 0.11]","[""Right Lingual Gyrus"": 0.53][""Right Declive"": 0.19]","[""Right Lingual Gyrus"": 0.46][""None"": 0.18][""Right Occipital Fusiform Gyrus"": 0.17][""Right Occipital Pole"": 0.12]"
195,196,189, (-46.4;13.8;-11.2),"[""None"": 1.00]",Temporal_Pole_Sup_L,"[""Left Temporal Pole"": 0.69][""Left Inferior Frontal Gyrus (p. Orbitalis)"": 0.26]","[""Left Superior Temporal Gyrus"": 0.65][""Left Inferior Frontal Gyrus"": 0.30]","[""Left Temporal Pole"": 0.59][""Left Frontal Orbital Cortex"": 0.24]"
196,197,125, (-3.9;-53.1;57.4),"[""None"": 1.00]",Precuneus_L,"[""Left Precuneus"": 0.92]","[""Left Precuneus"": 0.74][""Right Precuneus"": 0.15]","[""Left Precuneous Cortex"": 0.66][""Right Precuneous Cortex"": 0.33]"
197,198,157, (30.8;-1.4;-36.2),"[""None"": 1.00]",Fusiform_R,"[""Right Fusiform Gyrus"": 0.38][""Right Inferior Temporal Gyrus"": 0.22][""Right Medial Temporal Pole"": 0.17][""Right ParaHippocampal Gyrus"": 0.13]","[""Right Uncus"": 0.47][""Right Inferior Temporal Gyrus"": 0.15][""Right Superior Temporal Gyrus"": 0.15][""Right Middle Temporal Gyrus"": 0.13]","[""Right Temporal Fusiform Cortex; anterior division"": 0.34][""Right Parahippocampal Gyrus; anterior division"": 0.29][""Right Temporal Pole"": 0.23]"
198,199,173, (-15.0;-30.8;-18.3),"[""None"": 1.00]",ParaHippocampal_L,"[""Left Cerebellum"": 0.49][""Left ParaHippocampal Gyrus"": 0.31][""Left Cerebellum"": 0.12]","[""Left Culmen"": 0.72][""None"": 0.14][""Left Parahippocampal Gyrus"": 0.14]","[""Left Parahippocampal Gyrus; posterior division"": 0.54][""None"": 0.33]"
199,200,211, (-41.9;-31.5;15.2),"[""None"": 0.88]",Temporal_Sup_L,"[""Left Superior Temporal Gyrus"": 0.62][""Left Rolandic Operculum"": 0.14][""Left Heschls Gyrus"": 0.14]","[""Left Superior Temporal Gyrus"": 0.46][""Left Insula"": 0.27][""Left Transverse Temporal Gyrus"": 0.20]","[""Left Parietal Operculum Cortex"": 0.35][""Left Planum Temporale"": 0.33][""Left Heschl's Gyrus (includes H1 and H2)"": 0.22]"
