sortedNodeID,originalNodeID,NodeGrouping,Node ,AAc-6,regionName,regionLongName,regionIdLabel,LR,region,Lobe,cortex,regionID,Cortex_ID,x-cog,y-cog,z-cog,volmm,broad_region
100,5,6,L_V3_ROI,Visual,V3_L,Third_Visual_Area_L,5_L,L,V3,Occ,Early_Visual,5,2,107.926111,40.632159,76.961153,4994,Early_and_Intermediate_Visual_Cortex
101,6,6,L_V4_ROI,Visual,V4_L,Fourth_Visual_Area_L,6_L,L,V4,Occ,Early_Visual,6,2,120.481621,41.344329,69.955702,3183,Early_and_Intermediate_Visual_Cortex
102,184,6,R_V2_ROI,Visual,V2_R,Second_Visual_Area_R,204_R,R,V2,Occ,Early_Visual,204,2,77.026083,47.558042,76.305265,6211,Early_and_Intermediate_Visual_Cortex
103,185,6,R_V3_ROI,Visual,V3_R,Third_Visual_Area_R,205_R,R,V3,Occ,Early_Visual,205,2,71.976821,41.580308,78.859282,4875,Early_and_Intermediate_Visual_Cortex
104,186,6,R_V4_ROI,Visual,V4_R,Fourth_Visual_Area_R,206_R,R,V4,Occ,Early_Visual,206,2,57.656017,41.782393,71.003195,2817,Early_and_Intermediate_Visual_Cortex
105,2,12,L_MST_ROI,Visual,MST_L,Medial_Superior_Temporal_Area_L,2_L,L,MST,Occ,MT+_Complex_and_Neighboring_Visual_Areas,2,5,132.416667,58.901786,82.059524,336,Early_and_Intermediate_Visual_Cortex
106,20,12,L_LO1_ROI,Visual,LO1_L,Area_Lateral_Occipital_1_L,20_L,L,LO1,Occ,MT+_Complex_and_Neighboring_Visual_Areas,20,5,132.592541,39.361878,78.374309,724,Early_and_Intermediate_Visual_Cortex
107,21,12,L_LO2_ROI,Visual,LO2_L,Area_Lateral_Occipital_2_L,21_L,L,LO2,Occ,MT+_Complex_and_Neighboring_Visual_Areas,21,5,137.691983,45.555907,68.914557,948,Early_and_Intermediate_Visual_Cortex
108,23,12,L_MT_ROI,Visual,MT_L,Middle_Temporal_Area_L,23_L,L,MT,Occ,MT+_Complex_and_Neighboring_Visual_Areas,23,5,133.489855,55.521739,82.907246,345,Early_and_Intermediate_Visual_Cortex
109,138,12,L_PH_ROI,Visual,PH_L,Area_PH_L,138_L,L,PH,Temp,MT+_Complex_and_Neighboring_Visual_Areas,138,5,139.578644,61.953921,65.579087,2257,Early_and_Intermediate_Visual_Cortex
110,156,12,L_V4t_ROI,Visual,V4t_L,Area_V4t_L,156_L,L,V4t,Occ,MT+_Complex_and_Neighboring_Visual_Areas,156,5,138.695811,48.185792,74.724954,549,Early_and_Intermediate_Visual_Cortex
111,157,12,L_FST_ROI,Visual,FST_L,Area_FST_L,157_L,L,FST,Occ,MT+_Complex_and_Neighboring_Visual_Areas,157,5,137.648765,57.787325,76.535983,931,Early_and_Intermediate_Visual_Cortex
112,158,12,L_V3CD_ROI,Visual,V3CD_L,Area_V3CD_L,158_L,L,V3CD,Occ,MT+_Complex_and_Neighboring_Visual_Areas,158,5,125.152542,36.195686,81.429892,649,Early_and_Intermediate_Visual_Cortex
113,159,12,L_LO3_ROI,Visual,LO3_L,Area_Lateral_Occipital_3_L,159_L,L,LO3,Occ,MT+_Complex_and_Neighboring_Visual_Areas,159,5,136.842415,48.964654,85.864507,679,Early_and_Intermediate_Visual_Cortex
114,182,12,R_MST_ROI,Visual,MST_R,Medial_Superior_Temporal_Area_R,202_R,R,MST,Occ,MT+_Complex_and_Neighboring_Visual_Areas,202,5,43.620295,63.751227,78.013093,611,Early_and_Intermediate_Visual_Cortex
115,200,12,R_LO1_ROI,Visual,LO1_R,Area_Lateral_Occipital_1_R,220_R,R,LO1,Occ,MT+_Complex_and_Neighboring_Visual_Areas,220,5,47.281977,45.175872,76.959302,688,Early_and_Intermediate_Visual_Cortex
